"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Tripneustes";"depressus";"Tripneustes depressus";NA;32;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Toxopneustes";"roseus";"Toxopneustes roseus";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;14;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Chama";"spp";"Chama spp";NA;34;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;28;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;8;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Tripneustes";"depressus";"Tripneustes depressus";NA;47;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Otros";"pepinos";"Otros pepinos";NA;2;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;23;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Chama";"spp";"Chama spp";NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;3;"invert";NA
