site;date;observer;dive;replicate;species;sex;maturity;size_type;abundance;size_observed
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;1;Abudefduf troscheli;;;size;6;10
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;1;Cirrhitus rivulatus;;;size;1;20
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;1;Paranthias colonus;;;size;14;25
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Holacanthus passer;;;size;6;20
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Bodianus diplotaenia;;;size;2;15
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Bodianus diplotaenia;male;;size;2;25
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Bodianus diplotaenia;male;;size;1;30
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Chromis atrilobata;;;size;80;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Thalassoma lucasanum;;;size;9;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Thalassoma lucasanum;male;;size;1;7
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;2;Abudefduf troscheli;;;size;5;15
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;3;Holacanthus passer;;;size;8;25
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;3;Thalassoma lucasanum;;;size;20;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;3;Abudefduf troscheli;;;size;15;20
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;3;Girella simplicidens;;;size;2;30
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;3;Paranthias colonus;;;size;2;30
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;1;Chromis atrilobata;;;size;20;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;1;Thalassoma lucasanum;;;size;10;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;1;Abudefduf troscheli;;;size;3;20
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;2;Holacanthus passer;;;size;15;25
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;2;Chromis atrilobata;;;size;50;5
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;2;Balistes polylepis;;;size;5;30
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;3;Chromis atrilobata;;;size;75;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Serranus psittacinus;;;size;3;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Serranus psittacinus;;;size;4;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Serranus psittacinus;;;size;1;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Stegastes rectifraenum;;;size;5;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Stegastes rectifraenum;;;size;9;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Holacanthus passer;;;size;1;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Holacanthus passer;;;size;1;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Bodianus diplotaenia;;;size;5;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Bodianus diplotaenia;;;size;4;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Bodianus diplotaenia;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Haemulon sexfasciatum;;;size;1;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Halichoeres nicholsi;;;size;2;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Abudefduf troscheli;;;size;6;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Cephalopholis panamensis;;;size;3;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Cephalopholis panamensis;;;size;1;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Halichoeres dispilus;;;size;50;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;1;Caranx caballus;;;size;20;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Stegastes rectifraenum;;;size;4;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Holacanthus passer;;;size;3;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Holacanthus passer;;;size;3;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Holacanthus passer;;;size;1;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Haemulon maculicauda;;;size;6;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Thalassoma lucasanum;;;size;2;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Thalassoma lucasanum;;;size;2;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Cirrhitichthys oxycephalus;;;size;1;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;2;Scorpaena mystes;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Paranthias colonus;;;size;35;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Stegastes rectifraenum;;;size;5;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Holacanthus passer;;;size;1;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Bodianus diplotaenia;;;size;6;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Bodianus diplotaenia;;;size;3;35
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Halichoeres dispilus;;;size;20;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Thalassoma lucasanum;;;size;25;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Mycteroperca rosacea;;;size;1;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Epinephelus labriformis;;;size;2;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;3;Epinephelus labriformis;;;size;1;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Bodianus diplotaenia;;;size;1;35
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Chromis atrilobata;;;size;150;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Haemulon maculicauda;;;size;4;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Halichoeres nicholsi;;;size;1;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Thalassoma lucasanum;;;size;1;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Abudefduf troscheli;;;size;5;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Serranus psittacinus;;;size;2;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Paranthias colonus;;;size;19;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Haemulon flavolineatum;;;size;8;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Halichoeres notospilus;;;size;2;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Halichoeres dispilus;;;size;30;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Halichoeres dispilus;;;size;20;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;1;Caranx caballus;;;size;1;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Stegastes rectifraenum;;;size;3;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Stegastes rectifraenum;;;size;3;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Holacanthus passer;;;size;4;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Holacanthus passer;;;size;4;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Chromis atrilobata;;;size;50;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Haemulon flavolineatum;;;size;25;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Abudefduf troscheli;;;size;10;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Abudefduf troscheli;;;size;11;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Balistes polylepis;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Balistes polylepis;;;size;1;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Haemulon maculicauda;;;size;75;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Haemulon maculicauda;;;size;30;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;2;Paranthias colonus;;;size;39;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Holacanthus passer;;;size;7;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Holacanthus passer;;;size;6;20
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Bodianus diplotaenia;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Bodianus diplotaenia;;;size;1;25
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Chromis atrilobata;;;size;120;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Chromis atrilobata;;;size;50;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Halichoeres dispilus;;;size;30;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Halichoeres dispilus;;;size;40;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Thalassoma lucasanum;;;size;30;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Thalassoma lucasanum;;;size;40;5
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Abudefduf troscheli;;;size;3;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Balistes polylepis;;;size;1;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Paranthias colonus;;;size;2;10
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Paranthias colonus;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Cirrhitus rivulatus;;;size;1;30
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Paranthias colonus;;;size;15;15
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;3;Cephalopholis panamensis;;;size;1;15
El Arroyo (ISPN);28/09/2011;Solano, Rosario;1;1;Caranx caballus;;;size;2;20
El Arroyo (ISPN);28/09/2011;Solano, Rosario;1;3;Chromis atrilobata;;;size;280;3
El Arroyo (ISPN);28/09/2011;Solano, Rosario;1;3;Paranthias colonus;;;size;21;20
El Arroyo (ISPN);28/09/2011;Solano, Rosario;2;1;Holacanthus passer;;;size;1;20
El Arroyo (ISPN);28/09/2011;Solano, Rosario;2;1;Abudefduf troscheli;;;size;5;10
El Arroyo (ISPN);28/09/2011;Solano, Rosario;2;2;Holacanthus passer;;;size;2;15
El Arroyo (ISPN);28/09/2011;Solano, Rosario;2;2;Chromis atrilobata;;;size;200;3
El Arroyo (ISPN);28/09/2011;Solano, Rosario;1;2;Abudefduf troscheli;;;size;30;10
El Arroyo (ISPN);28/09/2011;Solano, Rosario;1;2;Abudefduf troscheli;;;size;6;8
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;1;Bodianus diplotaenia;;;size;3;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;1;Halichoeres dispilus;;;size;16;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;1;Serranus psittacinus;;;size;2;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;1;Serranus psittacinus;;;size;2;15
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;1;Paranthias colonus;;;size;17;15
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Stegastes rectifraenum;;;size;4;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Bodianus diplotaenia;;;size;12;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Bodianus diplotaenia;;;size;4;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Chromis atrilobata;;;size;30;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Halichoeres dispilus;;;size;19;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Scorpaena mystes;;;size;1;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Serranus psittacinus;;;size;2;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Paranthias colonus;;;size;3;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Paranthias colonus;;;size;10;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;2;Pomacanthus zonipectus;;;size;1;25
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;3;Bodianus diplotaenia;;;size;2;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;3;Bodianus diplotaenia;;;size;10;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;3;Chromis atrilobata;;;size;20;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;3;Haemulon maculicauda;;;size;2;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;1;3;Halichoeres dispilus;;;size;18;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;2;1;Holacanthus passer;;;size;1;20
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;2;1;Chromis atrilobata;;;size;30;5
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;2;1;Chromis atrilobata;;;size;25;10
El Arroyo (ISPN);28/09/2011;Torres, Jose Cruz;2;1;Abudefduf troscheli;;;size;3;15
